Original Row ID,Provider Type,Category,Priority,Name / Search,LinkedIn URL,Website,Location,Evidence,Confidence,Notes,Original LinkedIn URL,Corrected LinkedIn URL,Audit Action,Verification Status,Verification Method,Verification Date,Evidence URLs,Verified Business Contact Fallback,Audit Note,Identity Status,Geography Status,Dubai Coverage Evidence URL,Dubai Coverage Evidence,Queue Decision
NM-SP-001,Company,Cleaning & Laundry,A,Justlife,https://www.linkedin.com/company/justlife/,https://www.justlife.com/ae-en/,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,High,"Curated from the verified Dubai audit; Cleaning, laundry, maintenance, home services",https://www.linkedin.com/company/justlife/,https://www.linkedin.com/company/justlifemena/,REPLACED,READY_VERIFIED,INDEXED_LINKEDIN_IDENTITY_PLUS_OFFICIAL_BUSINESS_SOURCE,2026-09-13,https://www.justlife.com/ | https://www.linkedin.com/company/justlifemena/,https://www.justlife.com/,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,DUBAI_CONFIRMED,https://www.justlife.com/en-AE/contact-us,Official site lists Dubai and home services.,DUBAI_READY
NM-SP-009,Company,Cleaning & Laundry,A,The Healthy Home,https://www.linkedin.com/company/the-healthy-home/,https://thehealthyhome.me/,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,High,"Curated from the verified Dubai audit; Mattress, sofa, carpet, AC duct and disinfection",https://www.linkedin.com/company/the-healthy-home/,https://www.linkedin.com/company/the-healthy-home/,UNCHANGED_VERIFIED,READY_VERIFIED,OFFICIAL_WEBSITE_LINKEDIN_BACKLINK,2026-09-13,https://thehealthyhome.me/ | https://www.linkedin.com/company/the-healthy-home/,https://thehealthyhome.me/,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,DUBAI_CONFIRMED,https://thehealthyhome.me/en/ae/services,Official site says its home services are available in Dubai and across the UAE.,DUBAI_READY
NM-SP-010,Company,Cleaning & Laundry,A,Washmen,https://www.linkedin.com/company/washmen/,https://www.washmen.com/,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,High,"Curated from the verified Dubai audit; Laundry route, possible linen partner",https://www.linkedin.com/company/washmen/,https://www.linkedin.com/company/washmen/,UNCHANGED_VERIFIED,READY_VERIFIED,INDEXED_LINKEDIN_IDENTITY_PLUS_OFFICIAL_BUSINESS_SOURCE,2026-09-13,https://www.washmen.com/ | https://www.linkedin.com/company/washmen/,https://www.washmen.com/,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,DUBAI_CONFIRMED,https://washmen.com/,Official site offers laundry pickup and delivery in Dubai and Abu Dhabi.,DUBAI_READY
NM-SP-011,Company,Cleaning & Laundry,B,Laundryheap,https://www.linkedin.com/company/laundryheap/,https://www.laundryheap.com/ae/,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,High,"Curated from the verified Dubai audit; Laundry route, global company with UAE service",https://www.linkedin.com/company/laundryheap/,https://www.linkedin.com/company/laundryheap/,UNCHANGED_VERIFIED,READY_VERIFIED,INDEXED_LINKEDIN_IDENTITY_PLUS_OFFICIAL_BUSINESS_SOURCE,2026-09-13,https://www.laundryheap.com/ae/ | https://www.linkedin.com/company/laundryheap/,https://www.laundryheap.com/ae/,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,DUBAI_CONFIRMED,https://www.laundryheap.com/en-ae/dubai,Official Dubai page offers laundry and dry-cleaning pickup/delivery in Dubai.,DUBAI_READY
NM-SP-027,Company,Cleaning & Laundry,B,Spectrum Services,https://www.linkedin.com/company/spectrum-services/,,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,Medium,Curated from the verified Dubai audit; Needs verification before personalised outreach,https://www.linkedin.com/company/spectrum-services/,https://www.linkedin.com/company/spectrum-services-cleaning-maintenance-dubai/,REPLACED,READY_VERIFIED,INDEXED_LINKEDIN_IDENTITY_PLUS_OFFICIAL_BUSINESS_SOURCE,2026-09-13,https://www.linkedin.com/company/spectrum-services-cleaning-maintenance-dubai/,No separate fallback recorded.,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,DUBAI_CONFIRMED,https://spectrumservices.ae/terms-conditions/,"Official site lists Spectrum Services in Al Barsha Heights, Dubai; verified profile identifies Dubai cleaning/maintenance.",DUBAI_READY
NM-SP-003,Company,Maintenance & Technical,A,Urban Company,https://www.linkedin.com/company/urbancompany/,https://www.urbancompany.com/dubai,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,High,"Curated from the verified Dubai audit; Large provider network, not Dubai-only",https://www.linkedin.com/company/urbancompany/,https://www.linkedin.com/company/urbancompany/,UNCHANGED_VERIFIED,READY_VERIFIED,INDEXED_LINKEDIN_IDENTITY_PLUS_OFFICIAL_BUSINESS_SOURCE,2026-09-13,https://www.urbancompany.com/dubai | https://www.linkedin.com/company/urbancompany/,https://www.urbancompany.com/dubai,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,DUBAI_CONFIRMED,https://www.urbancompany.com/dubai,Official Dubai page offers professional home services and repairs/maintenance.,DUBAI_READY
NM-SP-004,Company,Maintenance & Technical,A,Mplus,https://www.linkedin.com/company/mplus/,https://www.mplus.ae/,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,High,"Curated from the verified Dubai audit; Maintenance, AC, plumbing, electrical, home care",https://www.linkedin.com/company/mplus/,https://www.linkedin.com/company/mplusae/,REPLACED,READY_VERIFIED,OFFICIAL_WEBSITE_LINKEDIN_BACKLINK,2026-09-13,https://www.mplus.ae/ | https://www.linkedin.com/company/mplusae/,https://www.mplus.ae/,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,DUBAI_CONFIRMED,https://www.mplus.ae/contact-us,Official site offers home maintenance and lists Dubai as a service city.,DUBAI_READY
NM-SP-005,Company,Maintenance & Technical,A,Hitches & Glitches,https://www.linkedin.com/company/hitches-and-glitches/,https://www.hitchesandglitches.com/,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,High,Curated from the verified Dubai audit; Strong STR maintenance fit,https://www.linkedin.com/company/hitches-and-glitches/,https://www.linkedin.com/company/hitches-and-glitches/,UNCHANGED_VERIFIED,READY_VERIFIED,INDEXED_LINKEDIN_IDENTITY_PLUS_OFFICIAL_BUSINESS_SOURCE,2026-09-13,https://hitchesglitches.com/ | https://www.linkedin.com/company/hitches-and-glitches/,https://hitchesglitches.com/,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,DUBAI_CONFIRMED,https://hitchesglitches.com/contact-us,Official contact page lists Hitches & Glitches in Dubai; services are home maintenance.,DUBAI_READY
NM-SP-006,Company,Maintenance & Technical,A,We Will Fix It,https://www.linkedin.com/company/wewillfixit/,https://www.wewillfixit.com/,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,High,Curated from the verified Dubai audit; Home maintenance and emergency technical work,https://www.linkedin.com/company/wewillfixit/,https://www.linkedin.com/company/wewillfixit/,UNCHANGED_VERIFIED,READY_VERIFIED,INDEXED_LINKEDIN_IDENTITY_PLUS_OFFICIAL_BUSINESS_SOURCE,2026-09-13,https://www.wewillfixit.com/ | https://www.linkedin.com/company/wewillfixit/,https://www.wewillfixit.com/,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,DUBAI_CONFIRMED,https://wewillfixit.com/contact-us,Official contact page lists We Will Fix It Services LLC in Dubai Investments Park.,DUBAI_READY
NM-SP-007,Company,Maintenance & Technical,B,Fixperts,https://www.linkedin.com/company/fixperts/,,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,Medium,Curated from the verified Dubai audit; Need service/geography verification before message,https://www.linkedin.com/company/fixperts/,https://www.linkedin.com/company/fixperts/,UNCHANGED_VERIFIED,READY_VERIFIED,INDEXED_LINKEDIN_IDENTITY_PLUS_OFFICIAL_BUSINESS_SOURCE,2026-09-13,https://www.fixperts.ae/ | https://www.linkedin.com/company/fixperts/,https://www.fixperts.ae/,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,DUBAI_CONFIRMED,https://fixperts.ae/,"Official site says it provides maintenance, cleaning and renovation across Dubai.",DUBAI_READY
